# Gen Frequency (Hz), Gen Level (dBm), SA Level (dBm), Osc Voltage (V), S21 Gen-Sa (dB), S21 Gen-Det (dB), Det Level (dBm)
3.000000000000000000e+09,1.200000000000000000e+01,7.733447551727294922e+00,2.090352000000000876e-01,-3.942043780355967364e+00,-3.910511418491132485e+00,7.701915189862459599e+00
3.000000000000000000e+09,1.100000000000000000e+01,6.691653728485107422e+00,1.760851999999999973e-01,-3.942043780355967364e+00,-3.910511418491132485e+00,6.660121366620272099e+00
3.000000000000000000e+09,1.000000000000000000e+01,5.607875347137451172e+00,1.433180000000000565e-01,-3.942043780355967364e+00,-3.910511418491132485e+00,5.576342985272615849e+00
3.000000000000000000e+09,9.000000000000000000e+00,4.523467540740966797e+00,1.165044000000000496e-01,-3.942043780355967364e+00,-3.910511418491132485e+00,4.491935178876131474e+00
3.000000000000000000e+09,8.000000000000000000e+00,3.520087480545043945e+00,9.587780000000002689e-02,-3.942043780355967364e+00,-3.910511418491132485e+00,3.488555118680209066e+00
3.000000000000000000e+09,7.000000000000000000e+00,2.515658617019653320e+00,7.657919999999998617e-02,-3.942043780355967364e+00,-3.910511418491132485e+00,2.484126255154818441e+00
3.000000000000000000e+09,6.000000000000000000e+00,1.522113084793090820e+00,6.065400000000002040e-02,-3.942043780355967364e+00,-3.910511418491132485e+00,1.490580722928255941e+00
3.000000000000000000e+09,5.000000000000000000e+00,5.184815526008605957e-01,4.743456000000000755e-02,-3.942043780355967364e+00,-3.910511418491132485e+00,4.869491907360257166e-01
3.000000000000000000e+09,4.000000000000000000e+00,-4.798018634319305420e-01,3.537560000000000704e-02,-3.942043780355967364e+00,-3.910511418491132485e+00,-5.113342252967654211e-01
3.000000000000000000e+09,3.000000000000000000e+00,-1.488384962081909180e+00,2.539000000000000284e-02,-3.942043780355967364e+00,-3.910511418491132485e+00,-1.519917323946744059e+00
3.000000000000000000e+09,2.000000000000000000e+00,-2.489582777023315430e+00,1.764436000000000129e-02,-3.942043780355967364e+00,-3.910511418491132485e+00,-2.521115138888150309e+00
3.000000000000000000e+09,1.000000000000000000e+00,-3.502621412277221680e+00,1.136443999999999822e-02,-3.942043780355967364e+00,-3.910511418491132485e+00,-3.534153774142056559e+00
3.000000000000000000e+09,0.000000000000000000e+00,-4.517277240753173828e+00,6.801000000000000621e-03,-3.942043780355967364e+00,-3.910511418491132485e+00,-4.548809602618007375e+00
3.000000000000000000e+09,-1.000000000000000000e+00,-5.516590595245361328e+00,3.725000000000000880e-03,-3.942043780355967364e+00,-3.910511418491132485e+00,-5.548122957110194875e+00
3.000000000000000000e+09,-2.000000000000000000e+00,-6.520657062530517578e+00,1.826496000000000152e-03,-3.942043780355967364e+00,-3.910511418491132485e+00,-6.552189424395351125e+00
3.000000000000000000e+09,-3.000000000000000000e+00,-7.701267719268798828e+00,6.447480000000000008e-04,-3.942043780355967364e+00,-3.910511418491132485e+00,-7.732800081133632375e+00
3.000000000000000000e+09,-4.000000000000000000e+00,-8.694714546203613281e+00,1.708719999999999998e-04,-3.942043780355967364e+00,-3.910511418491132485e+00,-8.726246908068446828e+00
3.000000000000000000e+09,-5.000000000000000000e+00,-9.708928108215332031e+00,-1.664800000000000053e-05,-3.942043780355967364e+00,-3.910511418491132485e+00,-9.740460470080165578e+00
